LandValue,BuildingValue,Acres,AboveSpace,Basement,Deck,Baths,Toilets,Fireplaces,Beds,Rooms,AC,Age,Car,Condition,Price
14500,62800,0.14,750,0,0,1,0,0,2,3,1,65.9,0,Good,73640
16800,60400,0.16,748,0,0,1,0,0,2,2,1,50,0,Average,106042
17000,59300,0.16,796,0,152,1,0,0,2,3,0,65.7,0,Good,90616
16600,72700,0.18,1592,0,0,1,1,1,4,4,1,91.8,0,Poor,68731
16700,46700,0.18,688,0,0,1,0,0,2,2,1,107.8,0,Good,73640
14400,57600,0.15,1544,0,0,1,1,0,3,3,1,94.8,0,Average,88368
17200,89500,0.19,1525,0,0,1,0,0,3,2,1,91.9,0,Good,101623
14800,56200,0.15,720,0,0,1,0,0,2,3,0,61.8,0,Average,62840
16200,94000,0.15,936,700,0,1,0,0,2,3,1,44,0,Good,97696
19600,42400,0.31,623,0,0,1,0,0,2,2,0,58.9,0,Average,27492
12400,67000,0.17,826,400,0,1,0,0,3,2,1,48.7,0,Good,82904
7700,64500,0.18,1287,0,0,1,0,0,3,3,1,106,0,Good,68633
5800,68900,0.15,1268,0,283,1,0,0,3,3,1,70.9,0,Good,70695
5200,42700,0.14,1098,0,0,1,0,0,3,3,0,102.8,0,Average,81004
8700,42500,0.21,816,0,0,1,0,0,2,2,0,69.9,0,Poor,63821
9500,57800,0.28,980,0,0,1,0,0,2,3,1,88.9,336,Good,61858
2800,43900,0.07,1352,0,0,1,0,0,3,3,1,102.8,180,Poor,14460
33500,139800,1,1715,300,0,2,0,1,3,4,1,50.8,0,Good,201283
12000,35800,0.56,786,0,0,1,0,0,2,2,0,88.8,0,Average,23565
6300,40800,0.19,912,0,0,1,1,0,2,3,0,97.8,0,Good,55912
6600,110000,0.22,1534,0,78,2,0,0,4,2,1,2.8,0,Average,137462
15200,48000,0.36,1101,0,0,1,0,0,3,3,0,98.8,0,Poor,54003
5100,39500,0.15,1207,0,100,2,0,0,3,3,0,107.9,0,Average,34365
18200,84100,0.39,1323,0,280,1,0,0,2,3,1,92.9,0,Good,117824
12600,126100,0.44,2208,0,320,2,0,0,5,5,1,100.8,0,Good,146789
3300,19400,0.09,915,0,0,1,0,1,2,2,0,96,162,Poor,18656
5800,94000,0.15,1715,0,0,1,0,1,3,4,1,35.8,0,Average,122734
8300,54900,0.2,1694,0,0,2,0,0,3,5,0,85.8,0,Poor,37930
5700,46400,0.15,1230,0,0,1,0,0,3,3,1,109.9,0,Average,66767
6500,46100,0.11,880,0,0,1,0,0,2,3,0,87.8,0,Average,55912
15100,47800,0.15,648,0,0,1,0,0,2,2,1,65.8,0,Average,49093
25100,93000,0.24,1180,590,0,1,1,0,2,3,1,57.7,294,Good,131972
25200,116700,0.14,1404,200,240,1,0,0,3,3,1,100.8,0,Good,139916
23500,106100,0.16,1188,0,184,2,0,1,3,2,1,68.9,0,Good,127643
83300,276000,0.61,2608,500,0,3,1,1,2,3,1,47.9,572,Average,348563
20700,76900,0.13,952,0,0,1,0,1,3,3,1,85.9,200,Average,82477
27200,154400,0.15,1858,0,230,2,0,1,3,3,1,53.8,0,Good,211102
37400,115700,0.15,1433,400,112,2,0,1,4,3,1,85.7,0,Good,159061
19300,103100,0.12,1355,0,160,1,0,1,3,2,1,82.7,0,Average,118573
47000,214400,0.22,2466,850,216,2,1,2,4,5,1,92.9,236,Good,263141
45600,154200,0.21,1896,200,0,1,1,1,3,5,1,68.9,252,Good,209629
94200,379500,0.71,4414,0,0,3,0,1,4,8,1,83.8,810,Good,451660
26100,107100,0.15,2243,0,0,2,0,2,4,7,1,91.8,0,Average,127643
24600,120700,0.15,1840,0,0,3,0,0,6,5,1,93.9,0,Good,147280
18200,54300,0.11,824,0,0,1,0,0,2,3,1,89.9,0,Average,102114
24900,68100,0.15,776,0,0,1,0,1,2,3,1,46.9,0,Good,130589
27300,96500,0.17,1308,0,0,1,0,0,3,3,1,93.9,0,Average,157099
31300,116400,0.19,1401,0,169,2,0,0,3,4,0,92.9,0,Good,172809
18500,40600,0.21,847,0,0,1,0,0,3,2,0,100.9,0,Good,45951
29100,96400,0.28,1151,0,0,1,1,0,1,3,1,57.8,0,Good,134958
49700,204200,0.26,1932,0,96,3,0,1,3,3,1,81.8,0,Good,232212
51700,308100,0.32,2402,650,0,3,1,2,5,4,1,42.8,529,Good,348563
23800,64400,0.15,1040,0,0,1,0,0,2,3,1,93.8,0,Good,133534
23800,92100,0.15,1615,0,312,1,1,1,4,2,1,91.9,0,Good,122734
35900,150200,0.5,1874,0,0,1,0,0,3,4,0,106.9,0,Good,210120
32100,103200,0.18,1022,300,176,1,0,1,2,3,1,81.9,0,Average,122243
34400,114500,0.29,1976,0,298,2,0,0,3,5,1,82.7,0,Good,144504
14500,59100,0.16,1172,0,0,2,0,0,3,3,0,92.7,0,Good,88688
25900,115800,0.19,1470,0,0,2,0,1,3,4,1,39.9,0,Good,143696
25900,124900,0.18,1453,0,0,1,1,1,3,4,1,77.8,0,Good,129177
25300,97800,0.16,1170,0,0,1,0,0,2,4,1,73.8,0,Good,117726
25300,75600,0.16,706,0,0,1,0,0,2,2,1,67.8,216,Good,116842
30900,141900,0.17,1802,0,0,2,0,1,4,3,1,67.8,0,Good,208402
27200,152600,0.18,1817,150,159,2,1,1,3,3,1,16.7,440,Good,172809
30600,75400,0.18,996,0,0,1,0,0,2,2,0,60.8,0,Good,117333
27900,88200,0.2,924,308,0,1,0,0,2,3,1,55.7,0,Good,91580
21400,114100,0.16,932,450,0,1,0,2,2,3,1,68.9,0,Good,143353
24500,65300,0.16,792,0,242,1,0,0,2,2,0,83.8,0,Good,96400
33400,103900,0.45,1382,400,0,2,1,1,4,4,1,84.9,0,Good,127643
25100,97700,0.16,910,0,0,1,0,0,3,2,1,34.7,0,Good,118476
20700,95600,0.14,1411,0,0,1,1,1,3,3,1,89.8,0,Good,78550
20700,95600,0.14,1411,0,0,1,1,1,3,3,1,89.9,0,Good,131570
23300,93800,0.15,1289,0,24,1,0,0,3,3,1,66.9,0,Good,135989
29100,148000,0.19,1438,0,0,2,0,1,3,3,1,71.9,252,Good,175755
30500,174200,0.2,1792,0,386,1,0,1,3,3,1,81,0,Good,225830
28300,97000,0.18,1032,0,288,1,0,0,3,2,1,49.8,0,Good,135498
30300,52300,0.3,832,0,0,1,0,0,2,3,0,85.7,0,Average,77120
27700,101900,0.18,1008,352,0,1,0,0,3,2,1,50.9,0,Good,133534
29600,100600,0.23,1465,0,120,1,0,1,4,3,0,87.9,0,Good,159063
32500,50000,0.32,1696,0,0,1,0,1,4,3,0,97,0,Poor,72275
32500,184000,0.32,2102,0,0,2,0,1,4,4,1,83.8,0,Good,245821
29300,118000,0.2,2240,0,28,2,0,0,4,7,1,92.8,0,Good,195392
32800,125000,0.35,1594,0,154,1,1,1,3,4,1,68.7,0,Good,170147
28000,59000,0.2,751,0,212,1,0,0,2,3,1,65.9,0,Good,112915
28000,53000,0.2,600,0,96,1,0,0,2,2,1,78,0,Average,104942
27600,66500,0.2,968,0,240,1,0,0,2,2,1,76,0,Good,75604
30700,86100,0.31,1523,0,71,2,0,0,4,3,1,92,0,Average,110951
20600,80700,0.11,1004,0,0,1,0,1,2,3,1,78.8,0,Good,134811
22600,106100,0.16,1274,0,0,1,0,1,3,3,1,66.7,0,Good,115681
28200,83600,0.27,1210,0,0,1,0,1,3,3,1,78.8,0,Good,132552
21700,75000,0.16,964,0,0,1,1,0,2,2,1,77.9,0,Good,126661
25200,134600,0.16,1623,0,288,1,0,1,3,4,1,78,0,Good,156117
25200,113200,0.16,1280,0,120,1,0,1,2,3,1,79.7,0,Good,138335
38300,114800,0.44,1069,360,280,2,0,1,2,2,1,62.8,0,Good,140898
23200,167600,0.15,1728,0,622,2,0,1,3,3,1,66.9,460,Good,181646
26900,80900,0.17,996,0,0,1,0,1,2,2,1,86,0,Good,115861
