,economy,time,EG.ELC.ACCS.ZS,EG.ELC.COAL.ZS,EG.ELC.FOSL.ZS,EG.ELC.HYRO.ZS,EG.ELC.LOSS.ZS,EG.ELC.NGAS.ZS,EG.ELC.NUCL.ZS,EG.ELC.PETR.ZS,EG.ELC.RNWX.ZS,EN.ATM.GHGT.KT.CE,EN.ATM.METH.KT.CE,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NV.AGR.TOTL.ZS,NV.IND.MANF.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.ZS,NY.GDP.MKTP.CD,SP.DYN.LE00.FE.IN,SP.DYN.TFRT.IN,SP.POP.TOTL,SP.URB.TOTL,year,gdp_per_capita,ghge_per_capita,c2e_per_capita,urb_pop_pct
10732,SLV,YR2012,93.680571,0.0,39.7627064293731,29.6135962802629,9.78034311367645,0.0,0.0,39.7627064293731,30.623697290364,12700.0,4280.0,28.5710611774443,49.077510444844,6.5143562539307,16.1734580557978,26.5894048250854,58.3439749557541,21386150000.0,76.203,2.187,6237922.0,4191073.0,2012,3428.4093324668056,0.0020359344025141705,0.0006861259246268228,67.18700554447459
10733,SLV,YR2013,95.043105,0.0,39.5567602040816,28.5395408163265,7.25446428571429,0.0,0.0,39.5567602040816,31.9036989795918,11940.0,3940.0,29.7248825313299,50.7262753757565,5.6132585329342,15.9773306952808,26.121585359809,59.5464865806283,21990970000.0,76.453,2.154,6266076.0,4263187.0,2013,3509.528132119687,0.001905498752329209,0.0006287826703665899,68.03599254142465
10734,SLV,YR2014,95.125416,0.0,40.3021050940061,27.6072633777921,11.328941025229,0.0,0.0,40.3021050940061,32.0906315282018,12260.0,4180.0,29.5528883136979,48.5515720035798,5.86683048988513,16.0762450726892,26.0135897733238,59.4190088636269,22593460000.0,76.703,2.126,6295124.0,4335704.0,2014,3589.0412960888457,0.001947539079452605,0.0006640059830433841,68.87400470586441
11185,SUR,YR2006,91.0198398886182,0.0,33.116036505867,66.883963494133,8.99608865710561,0.0,0.0,33.116036505867,0.0,2810.0,1010.0,52.7477102414654,45.4204829308909,9.99167360532889,23.202886483486,36.9830696641688,45.4066056064391,2626380435.17877,72.679,2.717,505292.0,336600.0,2006,5197.7479065149855,0.005561140884874489,0.00199884423264172,66.61494739675277
11186,SUR,YR2007,94.7833938598633,0.0,25.8520900321543,74.1479099678457,9.0032154340836,0.0,0.0,25.8520900321543,0.0,2700.0,1040.0,54.1247984121077,47.2522019600546,10.1476243642228,23.4834387793078,37.0673613695571,44.7463093908944,2936612021.85792,72.996,2.687,511181.0,340176.0,2007,5744.759726707213,0.00528188645509125,0.002034504412331444,66.54707432396744
11187,SUR,YR2008,94.6649780273438,0.0,22.0545560069646,77.9454439930354,8.9959373186303,0.0,0.0,22.0545560069646,0.0,2890.0,1120.0,56.9086409568983,52.2581975665086,8.92967622190142,25.3144978346051,40.0701175500103,44.1534336976696,3532969034.60838,73.297,2.659,517122.0,343778.0,2008,6831.9836220628395,0.0055886231875650234,0.002165833207637656,66.47909004064805
11188,SUR,YR2009,94.5559921264648,0.0,23.2183908045977,76.7816091954023,9.02298850574713,0.0,0.0,23.2183908045977,0.0,3030.0,1270.0,44.1248354953939,43.7958262831359,9.84207557811619,20.2669674750893,34.2921601804851,47.7063357774018,3875409836.06557,73.57,2.633,523113.0,347410.0,2009,7408.360786418173,0.005792247564101829,0.0024277737314882253,66.41203716978931
11189,SUR,YR2010,91.1975158633725,0.0,29.8143851508121,70.1856148491879,8.52668213457077,0.0,0.0,29.8143851508121,0.0,3360.0,1310.0,52.5473192695739,38.4140748770116,9.47219211206537,20.9872425581589,35.1705161344117,48.2448094721921,4368398047.64333,73.807,2.61,529126.0,351043.0,2010,8255.874872229544,0.006350094306460087,0.002475780815911522,66.3439332030556
11225,SVK,YR1995,100.0,26.449220523687,38.2586650522173,18.4652641138187,6.59906160133192,9.00938398668079,43.276070833964,2.80006054184955,0.0,51580.0,6150.0,53.9263117552502,54.6255176117499,2.25484365616011,19.0371601933496,27.7400136141198,56.5977640710265,25840146405.2288,76.3,1.52,5361999.0,3031513.0,1995,4819.125554709876,0.009619546739937848,0.0011469603034241522,56.53699301324002
11226,SVK,YR1996,100.0,25.2141117309657,39.2001257169796,16.6064272805846,6.31334957177654,9.19698279248841,44.1934470024358,4.78903119352558,0.0,51630.0,6230.0,49.2927561722145,62.5252724862607,2.30027848412194,17.9920948961038,28.5969125924404,56.6710331761832,27925036755.3866,76.7,1.47,5373361.0,3034659.0,1996,5196.940379659323,0.009608511320940469,0.0011594233106616138,56.47599333080356
11227,SVK,YR1997,100.0,27.4019079551351,39.5681155949387,16.2216101864048,8.45806889394484,9.30826647507285,44.1982996048377,2.85794116473077,0.0,51430.0,6040.0,53.6089814116398,63.9790275731084,2.06754867934644,17.1135795057522,27.0937680974706,58.7688328696251,27706028095.6157,76.7,1.43,5383291.0,3037037.0,1997,5146.671078270839,0.009553635499176991,0.001121990247229808,56.41599163039858
11228,SVK,YR1998,100.0,25.1709933157158,39.0914036996736,16.5824654127157,8.09109280273589,9.13648375563501,44.279496346961,4.78392662832271,0.0,50250.0,5920.0,45.5169214920153,56.5532269802785,2.12467053420717,18.2386657453633,27.9728115851906,57.9486073268344,29856000671.216,76.7,1.37,5390516.0,3037825.0,1998,5538.616464771832,0.009321927622513318,0.0010982251049806734,56.3549945867891
11229,SVK,YR1999,100.0,25.2303860523039,37.2994129158513,15.918875644903,6.51129692225583,10.8663938800925,46.6714107809998,1.2026329834549,0.0,48790.0,5700.0,46.3477064742072,51.1361711384585,1.64410671789987,17.6458127343612,28.3665364682185,58.4339220893027,30453383763.0514,77.0,1.33,5396020.0,3037635.0,1999,5643.675109256711,0.009041849363049062,0.0010563341129202636,56.2939907561499
11230,SVK,YR2000,100.0,19.8421975452952,31.3559322033898,14.9847392687837,5.70166893954153,10.8578479122021,53.555425676992,0.65588674589259,0.0,46200.0,5400.0,53.205468406987,55.582946714967,1.71030559393339,19.9794087798747,29.4168544604008,57.2054188824401,29169953012.7142,77.2,1.3,5388720.0,3030239.0,2000,5413.150620688067,0.008573464570436022,0.001002093261479535,56.23300152912009
11231,SVK,YR2001,100.0,19.641511803114,30.2800100452034,15.4664741336012,4.1624811652436,8.47250125565043,53.6884731290809,2.16599698643898,0.483425414364641,46830.0,5280.0,57.1181854095185,64.5611061177352,2.12021767859932,21.3338639813711,29.8464554363896,57.4708353091505,30752150335.5705,77.5,1.2,5378867.0,3020933.0,2001,5717.217089690171,0.008706294466845899,0.0009816193633343231,56.16299863893269
11232,SVK,YR2002,100.0,17.378616664597,27.3593691791879,16.3541537315286,3.43971190860549,7.79523159071154,55.7338879920527,2.1855209238793,0.471873835837576,46270.0,5200.0,56.9704951847734,63.4033914196547,2.04289904767007,19.4110797090773,29.2403327127339,58.1505377784326,35130340673.8189,77.6,1.19,5376912.0,3011770.0,2002,6533.553213037316,0.008605311003788047,0.0009670978435205932,56.013005234231095
11233,SVK,YR2003,100.0,20.6641709158975,30.681598141096,11.2308784612406,6.2576647518234,7.73252436584264,57.6518427677015,2.28490285935584,0.325953656490028,46560.0,5130.0,62.3343488872503,62.8133300938213,1.81038352971388,19.7143056070736,30.5821565150089,56.5224342878981,46816589164.7856,77.6,1.2,5373374.0,3001728.0,2003,8712.698793120599,0.008664946828566186,0.0009547074147453722,55.863001533114954
